Product name,Reference,Category,SKU,Price CZK,Price EUR,Imp. Cost USD,Imp. Cost EUR,Imp. Cost CZK,Supplier,Weight (g),Imported (pcs),Stock (pcs),Total orders
Sticker Halloween Phát sáng,2208 Sticker Halloween Phát sáng,Design,A0000193,50,2,0.39,0.38,9.41,http://detail.m.1688.com/page/index.htm?offerId=649572052571,100,600,-4,0
Top matte 15ml,2208 Top matte,Hoá chất,A0000196,250,10,1.94,1.92,47.32,https://orinail.m.en.alibaba.com,100,200,-2,0
Foil gel,2208 Foil gel,Hoá chất,A0000197,250,10,2.04,2.02,49.76,https://unigelsystem.m.en.alibaba.com,100,100,-1,0
Sticker Playboy,2208 Playboy sticker,Design,A0000198,30,1,0.44,0.44,10.73,https://diynailpolish.m.en.alibaba.com,100,300,300,0
Bình xịt ombre bột,2208 Bình xịt ombre bột,Tools & Accessories,A0000201,200,8,3.59,3.60,88.69,https://mingxia.m.en.alibaba.com/company_profile.html,100,200,-1,0
Tay giả mềm,2208 Tay giả mềm,Tools & Accessories,A0000202,250,10,3.59,3.60,88.69,https://liaoke.m.en.alibaba.com/company_profile.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,50,-1,0
Tay giả khớp,2208 Tay giả khớp,Tools & Accessories,A0000203,800,38,10.59,10.63,261.64,https://liaoke.m.en.alibaba.com/company_profile.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,10,-1,0
Bút Gradient,2209 Bút Gradient,Bút,A0000209,130,5,0.8,0.80,19.68,Baowang Brush,100,100,-1,0
Đầu Chổi sắt,2209 W Đầu Chổi sắt,Đầu bào,A0000211,100,4,0.56,0.56,13.78,Wilson,100,200,-3,0
3in1 Mịn C - ngắn,2209 W 3in1 Mịn C - ngắn,Đầu bào,A0000214,200,8,2.67,2.68,65.68,Wilson,100,100,-2,0
3XC ULTRA,2209 W 3XC,Đầu bào,A0000219,200,8,2.67,2.68,65.68,Wilson,100,200,-3,0
5XC - Titan,2209 W 5XC - Titan,Đầu bào,A0000221,300,12,3.73,3.74,91.75,Wilson,100,100,-4,0
Bào nhám Diamond nhỏ - M,2209 IBL Bào nhám Diamond nhỏ - M,Đầu bào,A0000222,130,5,0.5,0.50,12.30,https://i-believe.m.en.alibaba.com/company_profile.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,100,-1,0
Bào nhám Diamond to - C,2209 IBL Bào nhám Diamond - C,Đầu bào,A0000223,130,5,1.5,1.50,36.90,https://i-believe.m.en.alibaba.com/company_profile.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,100,-5,0
Hoa 3D Design,2209 Hoa nhựa 3D,Design,A0000225,75,3,0.62,0.62,15.17,https://diynailpolish.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,100,-6,0
Sticker chữ,2209 Sticker chữ,Design,A0000230,30,1,0.26,0.26,6.36,http://detail.m.1688.com/page/index.htm?offerId=646554569603,100,800,-5,0
Tips Ballerina trong XXL,2209 Tip ballerina set,Tips,A0000232,290,10,2.12,2.12,51.89,https://vicovi.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,50,-1,0
Tip ballerina ngắn 4/5/5/6,2209 Tip ballerina ngắn 4/5/5/6,Tools & Accessories,A0000233,100,4,0.6,0.60,14.68,https://vicovi.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,100,100,0
Tip trong nhọn 4/5/5/6,2209 Tip trong nhọn 4/5/5/6,Tools & Accessories,A0000235,100,4,0.6,0.60,14.68,https://vicovi.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,100,100,0
Lá Trái tim set,2209 Lá Trái tim,Design,A0000239,120,6,0.68,0.68,16.64,https://diynailpolish.m.en.alibaba.com,100,51,-1,0
Bột màu 56g,2210 Bột màu 56g,Hoá chất,A0000250,300,12,1.79,1.84,45.28,BIN,100,500,-2,0
Máy xịt ombre gel,2211 Máy xịt ombre gel,Đồ điện,A0000251,1900,80,13.17,13.42,329.02,https://honhyda.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,100,-1,0
Sơn vẽ hũ Metallic 5g,2211 Sơn vẽ hữu Metallic,Design,A0000252,120,5,1.52,1.55,37.97,http://detail.m.1688.com/page/index.htm?offerId=658851912778,100,300,-1,0
Sơn vẽ hũ 5g,2211 Sơn vẽ hữu 5g,Design,A0000253,100,4,0.82,0.84,20.49,http://detail.m.1688.com/page/index.htm?offerId=670885013270,100,200,-1,0
Cuticle oil 15ml,2211 Cuticle oil 15ml,Hoá chất,A0000254,100,4,1.08,1.10,26.98,https://jting.m.en.alibaba.com/company_profile.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,500,-1,0
Gel vẽ màng nhện 5g,2211 Gel vẽ màng nhện 5g,Design,A0000256,100,4,1.18,1.20,29.48,https://jting.m.en.alibaba.com/company_profile.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,200,-1,0
Nhám trắng M ⌗240 (1000c),2211 Nhám trắng M ⌗240 (1000c),Tools & Accessories,A0000258,1000,40,9,8.83,214.47,https://bolly.m.en.alibaba.com/company_profile.html,100,50,-1,0
Tips trong nhọn dài,2211 Tip trong nhọn dài,Tips,A0000259,290,10,1.4,1.37,33.36,https://vicovi.m.en.alibaba.com/company_profile.html,100,200,-1,0
Lẻ - Tip Trong nhọn,2211 Lẻ - Tip Trong nhọn - 7-8-9,Tips,A0000260,20,0.7,0.45,0.44,10.72,https://i-believe.m.en.alibaba.com/company_profile.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,600,-10,0
Bào Diamond Cuticle 2.5mm,2211 Bào Diamond Cuticle 2.5mm,Đầu bào,A0000261,100,4,1.13,1.11,26.93,https://i-believe.m.en.alibaba.com/company_profile.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,100,-1,0
Sticker F Noel - 3D,2211 Sticker F Noel,Design,A0000262,50,2,0.4,0.39,9.53,https://diynailpolish.m.en.alibaba.com/company_profile.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,500,-5,0
Sticker STZ Noel - 5D,2211 Sticker STZ Noel,Design,A0000263,75,3,0.8,0.78,19.06,https://diynailpolish.m.en.alibaba.com/company_profile.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,1000,-5,0
Kéo,2212 Kéo,Tools & Accessories,A0000266,120,6,1.77,1.67,40.29,http://detail.m.1688.com/page/index.htm?offerId=644449092826,100,400,-1,0
Máy Bào Btmarathon 3,2212 Máy Bào Btmarathon 3,Đồ điện,A0000267,3600,150,50.67,47.69,"1,153.38",https://kaxma.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,5,-2,0
Bút chấm bi set 5c,2212 Bút chấm bi set 5c,Tools & Accessories,A0000268,120,5,1.47,1.38,33.46,Hefei,100,100,-1,0
Cán dao cạo chân - hồng,2212 Cán dao cạo chân - hồng,Tools & Accessories,A0000270,120,5,1.4,1.32,31.87,Hefei,100,100,-2,0
Đèn LED pin cầm tay,2212 Đèn LED pin cầm tay,Đồ điện,A0000271,250,10,2.37,2.23,53.95,https://diynailpolish.m.en.alibaba.com/company_profile.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,100,-1,0
Khay inox,2212 Khay inox,Tools & Accessories,A0000272,150,6,2.02,1.90,45.98,Hefei,100,20,-5,0
Tay thay máy bào di động,2507 Tay thay máy bào di động,Đồ điện,A0001032,900,35,15.194,12.87,317.44,https://x.alibaba.com/B00Qej?ck=minisite,100,10,-2,0
Cây đẩy da inox japan,2212 cây đẩy da inox japan,Tools & Accessories,A0000276,50,2,0.71,0.67,16.16,Tran Ngot,100,200,200,0
3XC Hoa cúc ULTRA,2212 3XC Hoa cúc,Đầu bào,A0000277,180,8,2.48,2.33,56.45,Xiangrui,100,400,-2,0
Bút quan tài,2212 Bút quan tài,Bút,A0000278,1500,60,32.2,30.31,732.96,Joyrich,100,50,50,0
Bút vẽ 2 đầu - 10/20mm,2212 Bút vẽ 10/20mm,Bút,A0000281,309,12,2.95,2.78,67.15,Yihuale,100,100,-1,0
Kéo - dài,2212 Kéo - dài,Tools & Accessories,A0000282,200,8,1.04,0.98,23.67,http://detail.m.1688.com/page/index.htm?offerId=650604977308,100,100,-1,0
4XC - Titan,2301 4XC Titan,Đầu bào,A0000287,300,12,3.64,3.46,83.22,Wilson,100,100,93,0
4XC trục nhỏ,2301 4XC trục nhỏ,Đầu bào,A0000290,200,8,3.64,3.46,83.22,Wilson,100,100,-1,0
Vỏ nhám trắng M ⌗240 (100c),2301 Nhám trắng M ⌗240 (100c),Tools & Accessories,A0000291,150,6,1.37,1.28,30.60,https://bolly.m.en.alibaba.com/company_profile.html,100,500,-1,0
Găng tay Latex trắng - S,2301 Găng tay Latex - S,Tools & Accessories,A0000292,200,8,3.75,3.49,83.76,1688-vchat,100,60,-20,0
Găng tay Latex trắng - M,2301 Găng tay Latex - M,Tools & Accessories,A0000293,200,8,3.75,3.49,83.76,1688-vchat,100,40,-3,0
Chà chân 2 mặt,2301 Chà chân 2 mặt,Tools & Accessories,A0000296,25,1,0.64,0.60,14.30,https://charmcore.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,5000,-10,0
Nước rửa cọ 120ml,2301 Nước rửa cọ 120ml,Hoá chất,A0000299,450,18,8.68,8.01,192.37,Baowang,100,50,-1,0
Bào gầm,2511 Bào gầm,Đầu bào,A0001180,180,8,3.038,2.64,63.81,Xiangrui,100,200,-2,0
Gel đính đá,2304 Gel đính đá,Hoá chất,A0000309,200,5,0.83,0.75,17.61,Huiaian Gel - vchat,100,200,-1,0
BNS keo,2304 BNS keo,Hoá chất,A0000317,12,0.6,0.43,0.39,9.00,NSN,100,500,-250,0
15ml top coat tím loãng,2305 15ml thin top coat,Top Coat,A0000326,200,10,5.36,4.87,114.06,Aosmei,100,50,-1,0
Tip Trong Vuông XXL - Lẻ,2306 Tip Trong Vuông XXL - Lẻ,Tips,A0000347,25,1,0.3,0.28,6.59,https://i-believe.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_9e6970c106ed408eb9bc5e6c7f05f9fe,100,2280,-10,0
Chổi phủi bàn,2306 Chổi phủi bàn,Tools & Accessories,A0000352,180,8,4.54,4.14,98.49,http://detail.m.1688.com/page/index.htm?offerId=659065456090,100,100,-1,0
Spa tablets 2gal 4000 viên,2307 Spa tablets 2gal 4000 viên,Hoá chất,A0000354,4300,180,160.62,147.18,"3,484.17",https://novalbeauty.m.en.alibaba.com/company_profile.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_b461dbbe4d0349f69459beffa6fd262d,100,10,-1,0
Nhũ đường,2307 Nhũ đường,Design,A0000356,250,10,3.19,2.86,68.14,https://diynailpolish.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_f08958a6b44b41bca003d5bc1bc3fe0d,100,140,-4,0
Bút quan tài sz18,2307 Bút quan tài sz18,Bút,A0000365,1300,53,22.27,20.02,481.26,https://yalixin.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_70fde0c0b26544ce82b905391b0e1b56,100,40,-1,0
Bút gel - vuông 10,2307 Bút gel sz10,Bút,A0000370,150,6,2.7,2.43,58.35,https://bwbrush.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_fe590237805647ccb9014088011a323a,100,500,-1,0
Súng bào korea,2307 Sùng bào Korea,Đồ điện,A0000375,350,15,5.28,4.75,114.10,https://kaxma.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_893c91cb5a4648e4985e2b5edee239fc,100,100,-1,0
XC,2307 XC,Đầu bào,A0000380,180,8,3.33,2.99,71.96,Wilson,100,100,-3,0
Bao ngón cái 500c,2307 Bao ngón cái 500c,Tools & Accessories,A0000383,100,4,2.32,2.09,50.14,https://mobile.yangkeduo.com/goods1.html?goods_id=70480066751&page_from=101&pxq_secret_key=DPCCZCQ3HB7CJMWXZL4CZZF7KLQG2FRVQGQQD4KWRZZVE7VVD42Q&_oak_share_snapshot_num=345&_oak_share_detail_id=2394207588&_oak_share_time=1690137736&share_uin=LMFXQUT2Z5PQEI6DL5HUNYXJJI_GEXDA&refer_share_id=a0437d64a0054cd3b8ef1862bab21f78&refer_share_uin=LMFXQUT2Z5PQEI6DL5HUNYXJJI_GEXDA&refer_share_channel=copy_link&refer_share_form=text,100,50,-1,0
Top coat 500ml,2308 Top coat 500ml,Top Coat,A0000393,2200,80,40.31,37.09,893.61,https://vinimay.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_25327474c8234b57bbae310757027b52,100,20,-4,0
Chrome trắng gương 1g,2507 Chrome Trắng Gương 1g,Design,A0001062,120,10,5.657,4.82,118.18,https://x.alibaba.com/1l9badz?ck=minisite,100,100,-1,0
Top matte 250ml,2308 Top matte 250ml,Hoá chất,A0000395,1200,50,14.31,13.17,317.23,https://orinail.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_9bb4e39e42844ceb9078554f36d81029,100,50,-1,0
Chà chân 1 lần 400c,2309 Chà chân 1 lần 400c xanh,Tools & Accessories,A0000402,1300,55,23.185,21.74,532.49,https://xmpumice.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_b24e38df700640e6a097da644812b266,100,32,-1,0
Bào mịn Diamond - M,2309 Bào nhám Diamond M - to,Đầu bào,A0000407,100,4,1.19,1.12,27.27,Xiangrui,100,50,-1,0
Mịn Fusion - C,2309 Mịn Fusion - C,Đầu bào,A0000412,170,8,3.29,3.09,75.39,Xiangrui,100,50,-2,0
Mịn Fusion - F,2309 Mịn Fusion - F,Đầu bào,A0000413,170,8,3.29,3.09,75.39,Xiangrui,100,50,50,0
3XC răng thẳng,2309 3XC răng thẳng,Đầu bào,A0000414,180,8,3.49,3.28,79.97,Xiangrui,100,50,-5,0
4XC răng thẳng,2309 4XC răng thẳng,Đầu bào,A0000415,180,8,3.49,3.28,79.97,Xiangrui,100,50,-2,0
Trục nhám rẻ,2309 Trục nhám rẻ,Đầu bào,A0000416,50,2,0.39,0.37,8.94,Xiangrui,100,200,-2,0
Bút cán gỗ sz18,2309 Bút cán gỗ sz18,Bút,A0000420,1300,53,21.73,20.41,497.91,https://yalixin.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_134e9a7cfe724a84ad8e1d27ebbc628a,100,50,-1,0
Chrome liquid - ngọc trai,2310 Chrome liquid - ngọc trai,Design,A0000434,120,5,2.54,2.42,58.91,https://jting.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_7be69ad4725b4df8a7d126e4647adb79,100,100,-2,0
Base coat 250ml,2505 Base coat 250ml,Hoá chất,A0000989,1200,50,11.831,10.51,261.78,https://x.alibaba.com/AzbocS?ck=minisite,100,60,-1,0
Top loang - Blooming gel 15ml,2509 Blooming gel,Hoá chất,A0001104,250,10,3.745,3.20,77.64,Beshyne,100,204,-1,0
5in1 Pedicure kit xanh,2312 Pedicure kit 5in1 200c,Tools & Accessories,A0000457,1470,60,21.84,20.28,491.06,https://xmpumice.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_c578aafc580c424097d4ce07fad5606b,100,60,42,0
Buffer đen cam 3 mặt,2312 Buffer đen cam 3 mặt,Tools & Accessories,A0000460,12,0.5,0.45,0.42,10.12,https://xmpumice.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_c578aafc580c424097d4ce07fad5606b,100,5000,-10,0
Tip ballerina - lẻ,2312 Típ ballerina - Lẻ,Tips,A0000464,20,0.8,0.65,0.60,14.61,https://i-believe.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_d1191dc4aebf4fe58c6d57e0455881aa,100,3800,-10,0
Kim tuyến DL10-18,2312 Kim tuyến DL10-18,Design,A0000466,250,10,2.57,2.39,57.79,https://kingch.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_f2735d87c1fd4b1fb23bd0c235122019,100,450,-2,0
Kim tuyến DL01-09,2312 Kim tuyến DL01-09,Design,A0000467,250,10,1.29,1.20,29.01,https://kingch.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_f2735d87c1fd4b1fb23bd0c235122019,100,450,-1,0
Kim tuyến sáng 23g DL01-09,2312 Kim tuyến sáng 23g DL01-09,Design,A0000468,150,6,2.05,1.90,46.09,https://x.alibaba.com/AvFVic?ck=pdp,100,400,-18,0
Cốc liquid,2312 Cốc liquid,Tools & Accessories,A0000470,100,4,1.74,1.62,39.12,https://lnbeautycare.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_82c4adc0971b437886bd4fe37972c29d,100,240,-1,0
XXS - Đầu tròn ULTRA,2312 XXS - Đầu tròn,Đầu bào,A0000471,180,8,2.49,2.31,55.99,https://bolly.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_ca3374b0d75246e8ab5d15d22a58f441,100,200,-3,0
Bào viên đạn,2312 Bào viên đạn,Đầu bào,A0000473,180,8,2.78,2.58,62.51,https://bolly.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_ca3374b0d75246e8ab5d15d22a58f441,100,200,200,0
4XC Đầu tròn ULTRA,2312 4XC - Đàu tròn,Đầu bào,A0000478,180,8,2.49,2.31,55.99,https://bolly.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_ca3374b0d75246e8ab5d15d22a58f441,100,400,-83,0
Cán dao cạo chân - đen,2507 Cán dao cạo chân  - đen,Tools & Accessories,A0001050,130,5,1.19,1.01,24.96,http://detail.m.1688.com/page/index.htm?offerId=848686225075,100,100,-2,0
Nhũ đường - T,2308 nhũ đường - T,Design,A0000480,250,10,0.8725,0.81,19.62,https://kingch.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_f2735d87c1fd4b1fb23bd0c235122019,100,60,-1,0
Kem mềm da,2312 Kem mềm da,Hoá chất,A0000482,870,35,19.62,17.92,440.58,DV golden nails,100,20,-1,0
Liquid mango,2312 Liquid mango,Hoá chất,A0000483,1600,65,49.05,44.81,"1,101.45",DV golden nails,100,12,-3,0
Vỏ nhám Mini - 100c,2401 Vỏ nhám Mini - 100c,Tools & Accessories,A0000494,150,6,2.09,1.91,47.23,https://bolly.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_355cc2e0b6c04c458abc1936263f8b62,100,100,-1,0
Vỏ nhám Mini - 1000c,2401 Vỏ nhám Mini - 1000c,Tools & Accessories,A0000495,1000,40,17.03,15.60,384.85,https://bolly.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_355cc2e0b6c04c458abc1936263f8b62,100,50,-1,0
Vỏ nhám trắng ⌗150 - M,2401 Vỏ nhám trắng ⌗150 (100c),Tools & Accessories,A0000497,200,7,1.41,1.29,31.86,https://bolly.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite&from=share&ckvia=share_355cc2e0b6c04c458abc1936263f8b62,100,700,-2,0
Súng bào máy tím,2401 Súng bào máy tím,Đồ điện,A0000504,1200,50,35.4,32.55,805.13,https://x.alibaba.com/AvWs2m?ck=minisite,100,50,-1,0
Vòng bi dưới máy tím - to,2401 Vòng bi dưới máy tím - to,Đồ điện,A0000506,170,7,2.9,2.67,65.96,https://x.alibaba.com/AvWs2m?ck=minisite,100,100,-3,0
Vòng bi dưới máy tím - nhỏ,2401 Vòng bi dưới máy tím - nhỏ,Đồ điện,A0000507,150,6,2.9,2.67,65.96,https://x.alibaba.com/AvWs2m?ck=minisite,100,100,-2,0
Bột - Natural white,2401 Bột - Natural White,Bột,A0000511,840,35,20.95,19.27,476.93,Keystone,100,34,-1,0
Xô Gel Scrub - Mint 23KG,2506 Xô Gel Scrub Mint - 20KG,Hoá chất,A0001007,2750,110,76.896,67.29,"1,663.86",Noval,100,80,-1,0
Cuticle Oil - Pineapple 1gal,2403 Cuticle Oil - Pineapple 1gal,Hoá chất,A0000516,875,35,19.905,18.27,459.91,https://x.alibaba.com/Avz0TD?ck=minisite,100,50,-1,0
Top coat tím Medium 500ml,2403 Top coat tím Medium 500ml,Top Coat,A0000519,2200,80,25.582,23.49,591.07,https://x.alibaba.com/Avz14z?ck=minisite,100,52,-1,0
